z,r,C
3,0.00990597,114.155
3,0.0104013,113.66
3,0.0109213,113.119
3,0.0114674,112.525
3,0.0120408,111.876
3,0.0126428,111.165
3,0.0132749,110.389
3,0.0139387,109.542
3,0.0146356,108.617
3,0.0153674,107.61
3,0.0161358,106.521
3,0.0169426,105.344
3,0.0177897,104.068
3,0.0186792,102.683
3,0.0196131,101.189
3,0.0205938,99.5745
3,0.0216235,97.8363
3,0.0227047,95.9679
3,0.0238399,93.9661
3,0.0250319,91.8284
3,0.0262835,89.5536
3,0.0275977,87.14
3,0.0289775,84.5932
3,0.0304264,81.9155
3,0.0319477,79.1148
3,0.0335451,76.2055
3,0.0352224,73.2002
3,0.0369835,70.1186
3,0.0388327,66.9847
3,0.0407743,63.8261
3,0.042813,60.6745
3,0.0449537,57.5655
3,0.0472014,54.5359
3,0.0495614,51.6247
3,0.0520395,48.8695
3,0.0546415,46.3045
3,0.0573736,43.9578
3,0.0602422,41.8479
3,0.0632544,39.9814
3,0.0664171,38.3494
3,0.0697379,36.9263
3,0.0732248,35.6708
3,0.0768861,34.5262
3,0.0807304,33.4247
3,0.0847669,32.2975
3,0.0890052,31.0844
3,0.0934555,29.743
3,0.0981283,28.2628
3,0.103035,26.6684
3,0.108186,25.0225
3,0.113596,23.413
3,0.119276,21.9334
3,0.125239,20.6556
3,0.131501,19.6005
3,0.138076,18.7255
3,0.14498,17.9305
3,0.152229,17.0944
3,0.159841,16.1313
3,0.167833,15.0417
3,0.176224,13.9206
3,0.185035,12.9108
3,0.194287,12.1074
3,0.204002,11.4781
3,0.214202,10.8758
3,0.224912,10.1594
3,0.236157,9.33614
3,0.247965,8.56804
3,0.260363,7.99366
3,0.273382,7.54606
3,0.287051,7.02899
3,0.301403,6.40456
3,0.316473,5.86529
3,0.332297,5.50362
3,0.348912,5.12921
3,0.366358,4.64872
3,0.384675,4.27114
3,0.403909,4.01598
3,0.424105,3.66425
3,0.44531,3.34239
3,0.467575,3.14749
3,0.490954,2.86286
3,0.515502,2.64649
3,0.541277,2.47682
3,0.568341,2.25151
3,0.596758,2.13234
3,0.626596,1.94146
3,0.657926,1.84328
3,0.690822,1.68625
3,0.725363,1.60541
3,0.761631,1.47952
3,0.799713,1.39879
3,0.839698,1.31941
3,0.881683,1.22479
3,0.925767,1.16449
3,0.972056,1.10582
3,1.02066,1.03651
3,1.07169,0.974045
3,1.12528,0.922822
3,1.18154,0.877186
3,1.24062,0.833417
3,1.30265,0.790783
3,1.36778,0.749349
3,1.43617,0.70936
3,1.50798,0.672255
3,1.58338,0.640615
3,1.66255,0.611973
3,1.74567,0.577926
3,1.83296,0.547975
3,1.9246,0.52252
3,2.02083,0.493276
3,2.12188,0.46846
3,2.22797,0.445664
3,2.33937,0.420461
3,2.45634,0.397018
3,2.57915,0.375402
3,2.70811,0.355023
3,2.84352,0.336182
3,2.98569,0.318162
3,3.13498,0.298653
3,3.29173,0.282666
3,3.45631,0.265116
3,3.62913,0.250208
3,3.81058,0.235825
3,4.00111,0.221726
3,4.20117,0.207973
3,4.41123,0.195617
3,4.63179,0.183955
3,4.86338,0.17295
3,5.10655,0.16214
3,5.36187,0.152245
3,5.62997,0.142869
3,5.91147,0.133572
3,6.20704,0.125308
3,6.51739,0.11744
3,6.84326,0.109775
3,7.18542,0.102936
3,7.5447,0.0960397
3,7.92193,0.0897488
3,8.31803,0.0839939
3,8.73393,0.0781979
3,9.17062,0.0729171
3,9.62916,0.0680167
3,10.1106,0.063251
3,10.6161,0.0588242
3,11.147,0.0547725
3,11.7043,0.0508073
3,12.2895,0.047148
3,12.904,0.0436689
3,13.5492,0.0404042
3,14.2266,0.0373519
3,14.938,0.0344474
3,15.6849,0.0317788
3,16.4691,0.0292168
3,17.2926,0.0268779
3,18.1572,0.0246572
3,19.0651,0.0226444
3,20.0183,0.0207253
3,21.0192,0.0189416
3,22.0702,0.0172652
3,23.1737,0.0157169
3,24.3324,0.0142951
3,25.549,0.0129786
3,26.8265,0.0117353
3,28.1678,0.0106198
3,29.5762,0.00957703
3,31.055,0.00861881
3,32.6077,0.00773285
3,34.2381,0.00692946
3,35.95,0.00619708
3,37.7475,0.00552912
3,39.6349,0.00491788
3,41.6167,0.00436847
3,43.6975,0.00386816
3,45.8824,0.00341085
3,48.1765,0.00300284
3,50.5853,0.00263365
3,53.1146,0.00230932
3,55.7703,0.00201619
3,58.5588,0.00175046
3,61.4868,0.00152203
3,64.5611,0.00131643
3,67.7891,0.0011316
3,71.1786,0.0009722
3,74.7375,0.000834045
3,78.4744,0.00070864
3,82.3981,0.000603737
3,86.518,0.000508509
3,90.8439,0.000428281
3,95.3861,0.000358224
3,100.155,0.000297812
3,105.163,0.000246889
3,110.421,0.000202911
3,115.942,0.000164456
3,121.74,0.000132468
3,127.827,0.000104842
3,134.218,8.07867e-05
3,140.929,6.10052e-05
3,147.975,4.45179e-05
3,155.374,3.08184e-05
3,163.143,1.98379e-05
3,171.3,1.02573e-05
3,179.865,2.67196e-06
3,188.858,-3.61177e-06
3,198.301,-8.52203e-06
3,208.216,-1.20428e-05
3,218.627,-1.43679e-05
3,229.558,-1.60984e-05
3,241.036,-1.72499e-05
3,253.088,-1.76598e-05
3,265.742,-1.72339e-05
3,279.029,-1.67704e-05
3,292.981,-1.57913e-05
3,307.63,-1.45572e-05
3,323.011,-1.31637e-05
3,339.162,-1.17171e-05
3,356.12,-1.02144e-05
3,373.926,-8.75971e-06
3,392.622,-7.40183e-06
3,412.253,-6.15969e-06
3,432.866,-5.04614e-06
3,454.509,-4.1174e-06
3,477.235,-3.30677e-06
